method,benchmark,metric,value
EgoGPT,Egoschema,alpha_eplus_C,41.0
EgoGPT,Egoschema,alpha_eJ,33.8
EgoGPT,EgoLifeQA,alpha_eC,29.2
EgoGPT,EgoLifeQA,alpha_eplus_C,11.0
EgoGPT,EgoLifeQA,alpha_eJ,9.0
EgoGPT,EgoR1Bench,alpha_eC,27.7
EgoGPT,EgoR1Bench,alpha_eplus_C,19.0
EgoGPT,EgoR1Bench,alpha_eJ,21.7
LongVA,Egoschema,alpha_eC,52.8
LongVA,Egoschema,alpha_eplus_C,41.4
LongVA,Egoschema,alpha_eJ,34.2
LongVA,EgoLifeQA,alpha_eC,30.8
LongVA,EgoLifeQA,alpha_eplus_C,5.4
LongVA,EgoLifeQA,alpha_eJ,3.6
LongVA,EgoR1Bench,alpha_eC,29.3
LongVA,EgoR1Bench,alpha_eplus_C,9.67
LongVA,EgoR1Bench,alpha_eJ,14.3
EgoButler,Egoschema,alpha_eC,38.4
EgoButler,Egoschema,alpha_eplus_C,7.8
EgoButler,Egoschema,alpha_eJ,23.1
EgoButler,EgoLifeQA,alpha_eC,31.0
EgoButler,EgoLifeQA,alpha_eplus_C,2.4
EgoButler,EgoLifeQA,alpha_eJ,4.4
EgoButler,EgoR1Bench,alpha_eC,25.7
EgoButler,EgoR1Bench,alpha_eplus_C,4.33
EgoButler,EgoR1Bench,alpha_eJ,13.3
Ego-R1,Egoschema,alpha_eC,63.0
Ego-R1,Egoschema,alpha_eplus_C,54.8
Ego-R1,Egoschema,alpha_eJ,23.4
Ego-R1,EgoLifeQA,alpha_eC,25.6
Ego-R1,EgoLifeQA,alpha_eplus_C,6.4
Ego-R1,EgoLifeQA,alpha_eJ,5.2
Ego-R1,EgoR1Bench,alpha_eC,22.0
Ego-R1,EgoR1Bench,alpha_eplus_C,3.67
Ego-R1,EgoR1Bench,alpha_eJ,12.0
M3Agent,Egoschema,alpha_eC,62.6
M3Agent,Egoschema,alpha_eplus_C,42.2
M3Agent,Egoschema,alpha_eJ,31.4
M3Agent,EgoLifeQA,alpha_eC,24.4
M3Agent,EgoLifeQA,alpha_eplus_C,2.8
M3Agent,EgoLifeQA,alpha_eJ,22.6
M3Agent,EgoR1Bench,alpha_eC,31.7
M3Agent,EgoR1Bench,alpha_eplus_C,10.3
M3Agent,EgoR1Bench,alpha_eJ,21.7
HippoMM,Egoschema,alpha_eC,43.8
HippoMM,Egoschema,alpha_eplus_C,43.8
HippoMM,Egoschema,alpha_eJ,37.4
HippoMM,EgoLifeQA,alpha_eC,30.4
HippoMM,EgoLifeQA,alpha_eplus_C,4.4
HippoMM,EgoLifeQA,alpha_eJ,4.4
HippoMM,EgoR1Bench,alpha_eC,9.33
HippoMM,EgoR1Bench,alpha_eplus_C,0.0
HippoMM,EgoR1Bench,alpha_eJ,5.0
EgoVidMem,Egoschema,alpha_eC,65.0
EgoVidMem,Egoschema,alpha_eplus_C,64.8
EgoVidMem,Egoschema,alpha_eJ,56.2
EgoVidMem,EgoLifeQA,alpha_eC,39.4
EgoVidMem,EgoLifeQA,alpha_eplus_C,12.8
EgoVidMem,EgoLifeQA,alpha_eJ,30.4
EgoVidMem,EgoR1Bench,alpha_eC,30.6
EgoVidMem,EgoR1Bench,alpha_eplus_C,18.3
EgoVidMem,EgoR1Bench,alpha_eJ,29.7
Qwen3VL,Egoschema,delta_c,7.99
Qwen3VL,Egoschema,delta_e,23.4
Qwen3VL,Egoschema,delta_m_tau,
Qwen3VL,EgoLifeQA,delta_c,10.8
Qwen3VL,EgoLifeQA,delta_e,18.6
Qwen3VL,EgoLifeQA,delta_m_tau,
Qwen3VL,EgoR1Bench,delta_c,10.8
Qwen3VL,EgoR1Bench,delta_e,19.0
Qwen3VL,EgoR1Bench,delta_m_tau,
Qwen2.5VL,Egoschema,delta_c,14.0
Qwen2.5VL,Egoschema,delta_e,31.1
Qwen2.5VL,Egoschema,delta_m_tau,
Qwen2.5VL,EgoLifeQA,delta_c,39.5
Qwen2.5VL,EgoLifeQA,delta_e,46.4
Qwen2.5VL,EgoLifeQA,delta_m_tau,
Qwen2.5VL,EgoR1Bench,delta_c,39.4
Qwen2.5VL,EgoR1Bench,delta_e,46.8
Qwen2.5VL,EgoR1Bench,delta_m_tau,
LLaVA-Video,Egoschema,delta_c,16.0
LLaVA-Video,Egoschema,delta_e,28.2
LLaVA-Video,Egoschema,delta_m_tau,
LLaVA-Video,EgoLifeQA,delta_c,14.0
LLaVA-Video,EgoLifeQA,delta_e,14.4
LLaVA-Video,EgoLifeQA,delta_m_tau,
LLaVA-Video,EgoR1Bench,delta_c,14.0
LLaVA-Video,EgoR1Bench,delta_e,14.6
LLaVA-Video,EgoR1Bench,delta_m_tau,
LLaVA-OV,Egoschema,delta_c,2.37
LLaVA-OV,Egoschema,delta_e,7.46
LLaVA-OV,Egoschema,delta_m_tau,
LLaVA-OV,EgoLifeQA,delta_c,2.6
LLaVA-OV,EgoLifeQA,delta_e,2.73
LLaVA-OV,EgoLifeQA,delta_m_tau,
LLaVA-OV,EgoR1Bench,delta_c,2.6
LLaVA-OV,EgoR1Bench,delta_e,2.74
LLaVA-OV,EgoR1Bench,delta_m_tau,
InternVL3.5,Egoschema,delta_c,53.1
InternVL3.5,Egoschema,delta_e,56.6
InternVL3.5,Egoschema,delta_m_tau,
InternVL3.5,EgoLifeQA,delta_c,80.9
InternVL3.5,EgoLifeQA,delta_e,81.8
InternVL3.5,EgoLifeQA,delta_m_tau,
InternVL3.5,EgoR1Bench,delta_c,80.3
InternVL3.5,EgoR1Bench,delta_e,80.9
InternVL3.5,EgoR1Bench,delta_m_tau,
InternVideo2.5,Egoschema,delta_c,7.22
InternVideo2.5,Egoschema,delta_e,8.26
InternVideo2.5,Egoschema,delta_m_tau,
InternVideo2.5,EgoLifeQA,delta_c,4.41
InternVideo2.5,EgoLifeQA,delta_e,4.48
InternVideo2.5,EgoLifeQA,delta_m_tau,
InternVideo2.5,EgoR1Bench,delta_c,4.17
InternVideo2.5,EgoR1Bench,delta_e,4.48
InternVideo2.5,EgoR1Bench,delta_m_tau,
EgoGPT,Egoschema,delta_c,2.42
EgoGPT,Egoschema,delta_e,3.54
EgoGPT,Egoschema,delta_m_tau,
EgoGPT,EgoLifeQA,delta_c,1.67
EgoGPT,EgoLifeQA,delta_e,1.86
EgoGPT,EgoLifeQA,delta_m_tau,
EgoGPT,EgoR1Bench,delta_c,1.65
EgoGPT,EgoR1Bench,delta_e,1.91
EgoGPT,EgoR1Bench,delta_m_tau,
LongVA,Egoschema,delta_c,1.67
LongVA,Egoschema,delta_e,5.12
LongVA,Egoschema,delta_m_tau,
LongVA,EgoLifeQA,delta_c,1.54
LongVA,EgoLifeQA,delta_e,2.93
LongVA,EgoLifeQA,delta_m_tau,
LongVA,EgoR1Bench,delta_c,1.54
LongVA,EgoR1Bench,delta_e,3.3
LongVA,EgoR1Bench,delta_m_tau,
EgoButler,Egoschema,delta_c,2.12
EgoButler,Egoschema,delta_e,2.2
EgoButler,Egoschema,delta_m_tau,0.333
EgoButler,EgoLifeQA,delta_c,2.4
EgoButler,EgoLifeQA,delta_e,1.02
EgoButler,EgoLifeQA,delta_m_tau,0.192
EgoButler,EgoR1Bench,delta_c,3.06
EgoButler,EgoR1Bench,delta_e,1.05
EgoButler,EgoR1Bench,delta_m_tau,0.17
Ego-R1,Egoschema,delta_c,21.4
Ego-R1,Egoschema,delta_e,21.8
Ego-R1,Egoschema,delta_m_tau,
Ego-R1,EgoLifeQA,delta_c,33.0
Ego-R1,EgoLifeQA,delta_e,34.6
Ego-R1,EgoLifeQA,delta_m_tau,
Ego-R1,EgoR1Bench,delta_c,27.6
Ego-R1,EgoR1Bench,delta_e,29.6
Ego-R1,EgoR1Bench,delta_m_tau,
M3Agent,Egoschema,delta_c,31.2
M3Agent,Egoschema,delta_e,38.5
M3Agent,Egoschema,delta_m_tau,0.51
M3Agent,EgoLifeQA,delta_c,89.8
M3Agent,EgoLifeQA,delta_e,83.9
M3Agent,EgoLifeQA,delta_m_tau,2.55
M3Agent,EgoR1Bench,delta_c,93.7
M3Agent,EgoR1Bench,delta_e,65.5
M3Agent,EgoR1Bench,delta_m_tau,2.56
HippoMM,Egoschema,delta_c,7.4
HippoMM,Egoschema,delta_e,21.4
HippoMM,Egoschema,delta_m_tau,0.396
HippoMM,EgoLifeQA,delta_c,125.0
HippoMM,EgoLifeQA,delta_e,143.0
HippoMM,EgoLifeQA,delta_m_tau,0.049
HippoMM,EgoR1Bench,delta_c,79.4
HippoMM,EgoR1Bench,delta_e,91.0
HippoMM,EgoR1Bench,delta_m_tau,0.049
EgoVidMem,Egoschema,delta_c,6.77
EgoVidMem,Egoschema,delta_e,5.29
